,route_name,route_url,bus_name,departure,arrival,depart_time,arrival_time,duration,bus_type,star_rating,price,seats_available
0,Vijayawada To Hyderabad Bus,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,,,23:45,06:00,06h 15m,"IntrCity SmartBus
A/C Seater / Sleeper (2+1)",,,35 Seats available
1,Vijayawada To Hyderabad Bus,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,,,23:25,06:25,07h 00m,"IntrCity SmartBus
A/C Seater / Sleeper (2+1)",,,32 Seats available
2,Vijayawada To Hyderabad Bus,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Rtc bus stand,Kukatpally,17:30,23:55,06h 25m,"FRESHBUS
Electric A/C Seater (2+2)",,450,
3,Vijayawada To Hyderabad Bus,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,,,,
4,Vijayawada To Hyderabad Bus,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,,,,
5,Hyderabad To Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,,,23:35,05:50,06h 15m,"Svkdt travels
A/C Sleeper (2+1)",,531,13 Seats available
6,Hyderabad To Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,,,23:50,05:35,05h 45m,"IntrCity SmartBus
A/C Seater / Sleeper (2+1)",,,32 Seats available
7,Hyderabad To Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,,,00:01,06:30,06h 29m,"IntrCity SmartBus
AC Sleeper (2+1)",,,21 Seats available
8,Hyderabad To Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,,,
9,Hyderabad To Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,,,
10,Kakinada To Visakhapatnam Bus,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Vahini Travels,,,23:55,04:00,04h 05m,"Vahini Travels
NON A/C Push Back (2+2)",,,31 Seats available
11,Kakinada To Visakhapatnam Bus,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,SRI VIJAYA KRISHNA TOURS and TRAVELS,,,23:59,04:30,04h 31m,"SRI VIJAYA KRISHNA TOURS and TRAVELS
Non A/C Seater / Sleeper (2+1)",,,24 Seats available
12,Visakhapatnam To Kakinada Bus,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sri Tulasi Tours and Travels,,,22:00,01:30,03h 30m,"Sri Tulasi Tours and Travels
Non A/C Seater / Sleeper (2+1)",,,9 Seats available
13,Visakhapatnam To Kakinada Bus,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sai RK Travels,,,22:40,02:30,03h 50m,"Sai RK Travels
Non A/C Seater / Sleeper (2+1)",,,20 Seats available
14,Visakhapatnam To Kakinada Bus,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Navayuga Travels,,,22:00,02:10,04h 10m,"Navayuga Travels
A/C Sleeper (2+1)",,,22 Seats available
15,Chittoor (Andhra Pradesh) To Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Chitoor Bypass,Majestic,13:30,18:45,05h 15m,"NueGo
Electric A/C Seater (2+2)",,314,
16,Chittoor (Andhra Pradesh) To Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Venson Transports,Chittoor New Bus Stand,Kalasipalyam,14:10,19:15,05h 05m,"Venson Transports
Non AC Seater (2+3)",,,
17,Chittoor (Andhra Pradesh) To Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Chitoor Bypass,Majestic,16:30,21:45,05h 15m,"NueGo
Electric A/C Seater (2+2)",,333,
18,Chittoor (Andhra Pradesh) To Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,,,19:30,00:10,04h 40m,"NueGo
Electric A/C Seater (2+2)",,314,29 Seats available
19,Chittoor (Andhra Pradesh) To Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,,,,,,,,,,
20,Kadapa To Bangalore Bus,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,SUVARNAMUKHI TRAVELS,,,21:00,04:15,07h 15m,"SUVARNAMUKHI TRAVELS
NON A/C Seater (2+3)",,,6 Seats available
21,Kadapa To Bangalore Bus,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Abhishek Bus,,,22:05,06:20,08h 15m,"Abhishek Bus
Scania Multi-Axle AC Semi Sleeper (2+2)",,,37 Seats available
22,Kadapa To Bangalore Bus,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Sri Vinayaka Travels,,,22:30,04:45,06h 15m,"Sri Vinayaka Travels
NON A/C Sleeper (2+1)",,,10 Seats available
23,Kadapa To Bangalore Bus,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,AdAR & BCVR Travels,,,23:00,05:00,06h 00m,"AdAR & BCVR Travels
Non A/C Seater / Sleeper (2+1)",,,27 Seats available
